[*] Paires de gap 2d — X = 10000000  (0.4 s)
    constante de base 2*C2 = 1.32032
 d | gap |   S(d)  |  mesure  | prediction | ratio
  1 |   2 | 1.32032 |    58980 |    58732.0 | 1.0042
  2 |   4 | 1.32032 |    58622 |    58732.0 | 0.9981
  3 |   6 | 2.64065 |   117207 |   117464.0 | 0.9978
  4 |   8 | 1.32032 |    58595 |    58732.0 | 0.9977
  5 |  10 | 1.76043 |    78211 |    78309.3 | 0.9987
  6 |  12 | 2.64065 |   117486 |   117464.0 | 1.0002
  7 |  14 | 1.58439 |    70463 |    70478.4 | 0.9998
  8 |  16 | 1.32032 |    58606 |    58732.0 | 0.9979
  9 |  18 | 2.64065 |   117463 |   117464.0 | 1.0000
 10 |  20 | 1.76043 |    78218 |    78309.3 | 0.9988
 11 |  22 | 1.46703 |    65320 |    65257.8 | 1.0010
 12 |  24 | 2.64065 |   117342 |   117464.0 | 0.9990
 13 |  26 | 1.44035 |    64203 |    64071.3 | 1.0021
 14 |  28 | 1.58439 |    70439 |    70478.4 | 0.9994
 15 |  30 | 3.52086 |   156517 |   156618.7 | 0.9994
 16 |  32 | 1.32032 |    58565 |    58732.0 | 0.9972
 17 |  34 | 1.40835 |    62638 |    62647.5 | 0.9998
 18 |  36 | 2.64065 |   118093 |   117464.0 | 1.0054
 19 |  38 | 1.39799 |    62133 |    62186.8 | 0.9991
 20 |  40 | 1.76043 |    78265 |    78309.3 | 0.9994
 21 |  42 | 3.16878 |   140849 |   140956.8 | 0.9992
 22 |  44 | 1.46703 |    65230 |    65257.8 | 0.9996
 23 |  46 | 1.38320 |    61340 |    61528.8 | 0.9969
 24 |  48 | 2.64065 |   117312 |   117464.0 | 0.9987
 25 |  50 | 1.76043 |    78270 |    78309.3 | 0.9995
 26 |  52 | 1.44035 |    64121 |    64071.3 | 1.0008
 27 |  54 | 2.64065 |   117407 |   117464.0 | 0.9995
 28 |  56 | 1.58439 |    70174 |    70478.4 | 0.9957
 29 |  58 | 1.36922 |    60654 |    60907.3 | 0.9958
 30 |  60 | 3.52086 |   156209 |   156618.7 | 0.9974
 31 |  62 | 1.36585 |    60655 |    60757.3 | 0.9983
 32 |  64 | 1.32032 |    58664 |    58732.0 | 0.9988
 33 |  66 | 2.93405 |   130403 |   130515.6 | 0.9991
 34 |  68 | 1.40835 |    62473 |    62647.5 | 0.9972
 35 |  70 | 2.11252 |    93780 |    93971.2 | 0.9980
 36 |  72 | 2.64065 |   117238 |   117464.0 | 0.9981
 37 |  74 | 1.35805 |    60281 |    60410.1 | 0.9979
 38 |  76 | 1.39799 |    62203 |    62186.8 | 1.0003
 39 |  78 | 2.88071 |   128087 |   128142.6 | 0.9996
 40 |  80 | 1.76043 |    78469 |    78309.3 | 1.0020
 41 |  82 | 1.35418 |    60103 |    60238.0 | 0.9978
 42 |  84 | 3.16878 |   140770 |   140956.8 | 0.9987
 43 |  86 | 1.35253 |    60091 |    60164.5 | 0.9988
 44 |  88 | 1.46703 |    65217 |    65257.8 | 0.9994
 45 |  90 | 3.52086 |   156705 |   156618.7 | 1.0006
 46 |  92 | 1.38320 |    61611 |    61528.8 | 1.0013
 47 |  94 | 1.34966 |    60120 |    60037.2 | 1.0014
 48 |  96 | 2.64065 |   117260 |   117464.0 | 0.9983
 49 |  98 | 1.58439 |    70140 |    70478.4 | 0.9952
 50 | 100 | 1.76043 |    78248 |    78309.3 | 0.9992
 51 | 102 | 2.81669 |   125291 |   125295.0 | 1.0000
 52 | 104 | 1.44035 |    64159 |    64071.3 | 1.0014
 53 | 106 | 1.34621 |    59900 |    59883.6 | 1.0003
 54 | 108 | 2.64065 |   117105 |   117464.0 | 0.9969
 55 | 110 | 1.95604 |    86708 |    87010.4 | 0.9965
 56 | 112 | 1.58439 |    70333 |    70478.4 | 0.9979
 57 | 114 | 2.79598 |   124263 |   124373.7 | 0.9991
 58 | 116 | 1.36922 |    60709 |    60907.3 | 0.9967
 59 | 118 | 1.34349 |    59634 |    59762.4 | 0.9979
 60 | 120 | 3.52086 |   156582 |   156618.7 | 0.9998
 61 | 122 | 1.34270 |    59615 |    59727.5 | 0.9981
 62 | 124 | 1.36585 |    60667 |    60757.3 | 0.9985
 63 | 126 | 3.16878 |   141051 |   140956.8 | 1.0007
 64 | 128 | 1.32032 |    58656 |    58732.0 | 0.9987
 65 | 130 | 1.92047 |    85239 |    85428.4 | 0.9978
 66 | 132 | 2.93405 |   130362 |   130515.6 | 0.9988
 67 | 134 | 1.34064 |    59556 |    59635.6 | 0.9987
 68 | 136 | 1.40835 |    62283 |    62647.5 | 0.9942
 69 | 138 | 2.76639 |   122764 |   123057.5 | 0.9976
 70 | 140 | 2.11252 |    93691 |    93971.2 | 0.9970
 71 | 142 | 1.33946 |    59535 |    59583.2 | 0.9992
 72 | 144 | 2.64065 |   117236 |   117464.0 | 0.9981
 73 | 146 | 1.33892 |    59697 |    59559.2 | 1.0023
 74 | 148 | 1.35805 |    60290 |    60410.1 | 0.9980
 75 | 150 | 3.52086 |   156741 |   156618.7 | 1.0008
 76 | 152 | 1.39799 |    61903 |    62186.8 | 0.9954
 77 | 154 | 1.76043 |    78390 |    78309.3 | 1.0010
 78 | 156 | 2.88071 |   128032 |   128142.6 | 0.9991
 79 | 158 | 1.33747 |    59498 |    59494.8 | 1.0001
 80 | 160 | 1.76043 |    78207 |    78309.3 | 0.9987
 81 | 162 | 2.64065 |   117401 |   117464.0 | 0.9995
 82 | 164 | 1.35418 |    60130 |    60238.0 | 0.9982
 83 | 166 | 1.33662 |    59546 |    59457.1 | 1.0015
 84 | 168 | 3.16878 |   140880 |   140956.8 | 0.9995
 85 | 170 | 1.87779 |    83601 |    83530.0 | 1.0009
 86 | 172 | 1.35253 |    60315 |    60164.5 | 1.0025
 87 | 174 | 2.73845 |   121790 |   121814.5 | 0.9998
 88 | 176 | 1.46703 |    65264 |    65257.8 | 1.0001
 89 | 178 | 1.33550 |    59318 |    59407.1 | 0.9985
 90 | 180 | 3.52086 |   156507 |   156618.7 | 0.9993
 91 | 182 | 1.72842 |    76546 |    76885.5 | 0.9956
 92 | 184 | 1.38320 |    61582 |    61528.8 | 1.0009
 93 | 186 | 2.73170 |   121514 |   121514.5 | 1.0000
 94 | 188 | 1.34966 |    59922 |    60037.2 | 0.9981
 95 | 190 | 1.86399 |    82791 |    82915.8 | 0.9985
 96 | 192 | 2.64065 |   117395 |   117464.0 | 0.9994
 97 | 194 | 1.33422 |    59144 |    59350.2 | 0.9965
 98 | 196 | 1.58439 |    70525 |    70478.4 | 1.0007
 99 | 198 | 2.93405 |   130502 |   130515.6 | 0.9999
 100 | 200 | 1.76043 |    78301 |    78309.3 | 0.9999
 101 | 202 | 1.33366 |    59005 |    59325.3 | 0.9946
 102 | 204 | 2.81669 |   125260 |   125295.0 | 0.9997
 103 | 206 | 1.33340 |    59405 |    59313.5 | 1.0015
 104 | 208 | 1.44035 |    63984 |    64071.3 | 0.9986
 105 | 210 | 4.22504 |   187729 |   187942.4 | 0.9989
 106 | 212 | 1.34621 |    59959 |    59883.6 | 1.0013
 107 | 214 | 1.33290 |    59347 |    59291.4 | 1.0009
 108 | 216 | 2.64065 |   117325 |   117464.0 | 0.9988
 109 | 218 | 1.33266 |    58957 |    59280.9 | 0.9945
 110 | 220 | 1.95604 |    87074 |    87010.4 | 1.0007
 111 | 222 | 2.71609 |   120548 |   120820.1 | 0.9977
 112 | 224 | 1.58439 |    70490 |    70478.4 | 1.0002
 113 | 226 | 1.33222 |    59173 |    59261.1 | 0.9985
 114 | 228 | 2.79598 |   124288 |   124373.7 | 0.9993
 115 | 230 | 1.84426 |    82043 |    82038.4 | 1.0001
 116 | 232 | 1.36922 |    60872 |    60907.3 | 0.9994
 117 | 234 | 2.88071 |   127882 |   128142.6 | 0.9980
 118 | 236 | 1.34349 |    59869 |    59762.4 | 1.0018
 119 | 238 | 1.69001 |    74992 |    75177.0 | 0.9975
 120 | 240 | 3.52086 |   156358 |   156618.7 | 0.9983
 121 | 242 | 1.46703 |    65001 |    65257.8 | 0.9961
 122 | 244 | 1.34270 |    59571 |    59727.5 | 0.9974
 123 | 246 | 2.70836 |   120467 |   120475.9 | 0.9999
[OK] 123 familles : ratio min 0.9942 ; max 1.0054 ; ecart max 0.0058  (3.9 s)
[hunt_log] trace ajoutee : paires-2d (10000000 cles, 0 drapeau(x))
